Symbol,Gene_symbol,IPI_accession,IPIs,Description,Protein_length,hESC_SpC,hNSC_SpC,NSAF_SpC_ratio,hESC_G_mean,hESC_Ln_NSAF,hESC_RSD_pct,hNSC_G_mean,hNSC_Ln_NSAF,hNSC_RSC_pct,t_test_p,color
TERF1,TERF1,IPI00005539,IPI00220583;IPI00005539,Isoform 1 of Telomeric repeat-binding factor 1,439,"( 6.4 ,10 ,3 )","( 0 ,2 ,0 )",7.145814849,2.00852e-05,-10.81552636,7.887472245,2.81077e-06,-12.78205321,6.925514613,0.050039679,gray
JUB,JUB,IPI00063605,IPI00063605,Protein ajuba,538,"( 1 ,4 ,0 )","( 10 ,10 ,9 )",0.128293122,3.57933e-06,-12.5403339,10.01987679,2.78997e-05,-10.48689628,2.614267794,0.050105648,gray
BAIAP2,BAIAP2,IPI00299088,IPI00299088;IPI00644120;IPI00185159;IPI00180292;IPI00902640;IPI00910507;IPI00909413;IPI00642333;IPI00647603,Isoform 1 of Brain-specific angiogenesis inhibitor 1-associated protein 2,552,"( 0 ,1 ,1 )","( 6 ,2 ,3 )",0.284902967,2.75763e-06,-12.80113942,3.416929275,9.67919e-06,-11.5455328,5.643383749,0.050143127,gray
MTMR12,MTMR12,IPI00061280,IPI00061280;IPI00301793;IPI00448020,Isoform 1 of Myotubularin-related protein 12,747,"( 7 ,8 ,12 )","( 3 ,3 ,9 )",1.990229111,1.79216e-05,-10.92950311,0.326073221,9.0048e-06,-11.61775287,3.696162718,0.050442196,gray
KIAA1967,KIAA1967,IPI00182757,IPI00182757,Isoform 1 of Protein KIAA1967,923,"( 96 ,134 ,143 )","( 136 ,156 ,203 )",0.74038796,0.000202898,-8.502807418,2.196261817,0.000274043,-8.202226459,0.284857085,0.05049821,gray
FBXO2,FBXO2,IPI00941983,IPI00844514;IPI00941983;IPI00007087,Putative uncharacterized protein FBXO2,299,"( 8 ,6 ,11 )","( 10 ,12 ,30 )",0.51723874,4.13864e-05,-10.09255726,1.747052127,8.00142e-05,-9.43330653,3.961338784,0.050603599,gray
SPEN,SPEN,IPI00045914,IPI00045914,Msx2-interacting protein,3664,"( 3 ,1 ,2 )","( 7 ,4 ,6 )",0.323759672,7.58e-07,-14.09258202,4.323954934,2.34124e-06,-12.96482823,2.766924905,0.05064678,gray
WDR11,WDR11,IPI00412224,IPI00412224;IPI00943071,WD repeat-containing protein 11,1224,"( 3 ,7 ,7 )","( 9 ,8 ,18 )",0.475895281,6.5902e-06,-11.92992739,3.284996513,1.3848e-05,-11.18736994,2.250716913,0.050750593,gray
CHAF1A,CHAF1A,IPI00023177,IPI00023177,Isoform 1 of Chromatin assembly factor 1 subunit A,956,"( 2 ,9 ,8 )","( 1 ,2 ,1 )",4.089942964,8.37987e-06,-11.68967831,6.227089155,2.0489e-06,-13.09820933,3.845278951,0.050906399,gray
ACIN1,ACIN1,IPI00007334,IPI00007334;IPI00946415;IPI00911038,Isoform 1 of Apoptotic chromatin condensation inducer in the nucleus,1341,"( 28 ,36 ,23 )","( 69 ,93 ,60 )",0.385584163,3.2644e-05,-10.32984874,4.47135035,8.46612e-05,-9.376852948,4.066433361,0.050974136,gray
MGAT1,MGAT1,IPI00000138,IPI00964058;IPI00179044;IPI00000138,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",445,"( 5 ,7 ,14 )","( 4 ,3 ,2 )",2.64414187,2.77701e-05,-10.49155105,2.468098418,1.05025e-05,-11.46389763,4.836420014,0.051160997,gray
GSTO1,GSTO1,IPI00019755,IPI00019755,Glutathione S-transferase omega-1,241,"( 62 ,74 ,113 )","( 45 ,56 ,91 )",1.290311261,0.000509477,-7.582126307,0.852544555,0.000394848,-7.837009784,1.873158966,0.051238878,gray
MECP2,MECP2,IPI00645192,IPI00418234;IPI00645192,Isoform B of Methyl-CpG-binding protein 2,498,"( 4 ,0 ,0 )","( 7 ,10 ,10 )",0.110724426,3.06911e-06,-12.69412231,10.88959069,2.77185e-05,-10.4934115,1.566237285,0.051414104,gray
DDX1,DDX1,IPI00293655,IPI00293655,ATP-dependent RNA helicase DDX1,740,"( 160 ,157 ,184 )","( 199 ,244 ,259 )",0.70421582,0.00034405,-7.974723416,2.284074581,0.000488558,-7.624053009,1.643249519,0.051490659,gray
FIP1L1,FIP1L1,IPI00965445,IPI00965581;IPI00008449;IPI00965445;IPI00395337;IPI00658114,95 kDa protein,849,"( 12 ,11 ,10 )","( 22 ,21 ,25.8951 )",0.472806155,2.54068e-05,-10.58049561,3.335821504,5.37361e-05,-9.831425816,3.199814735,0.051631808,gray
RBM33,RBM33,IPI00852584,IPI00852584;IPI00853412;IPI00925688,Isoform 1 of RNA-binding protein 33,1170,"( 7 ,13 ,9 )","( 13 ,19 ,19 )",0.480992915,1.24527e-05,-11.29357514,3.564658385,2.58895e-05,-10.5616724,2.145627327,0.051636405,gray
FAHD2A,FAHD2A,IPI00329742,IPI00329742,Fumarylacetoacetate hydrolase domain-containing protein 2A,314,"( 27 ,30 ,33 )","( 32 ,40.5882 ,49 )",0.736250489,0.000145539,-8.835069021,2.027692674,0.000197675,-8.528884142,0.861961967,0.051959988,gray
C9orf142,C9orf142,IPI00030968,IPI00030968,Isoform 1 of Uncharacterized protein C9orf142,204,"( 0 ,2 ,9 )","( 11 ,13 ,18 )",0.149217147,1.55844e-05,-11.06923717,10.90998399,0.000104441,-9.166884498,0.457626343,0.052039599,gray
GRK6,GRK6,IPI00220242,IPI00465441;IPI00967360;IPI00220242;IPI00017330,Isoform GRK6B of G protein-coupled receptor kinase 6,589,"( 6 ,7 ,3 )","( 0 ,2 ,0 )",6.156523683,1.32444e-05,-11.231932,6.048319101,2.15129e-06,-13.04944428,7.127790975,0.052048381,gray
KARS,KARS,IPI00307092,IPI00307092;IPI00014238,Isoform Mitochondrial of Lysyl-tRNA synthetase,625,"( 118 ,133 ,203 )","( 92 ,110 ,176 )",1.21190763,0.000371095,-7.899051646,0.376540151,0.000306208,-8.091247318,1.457558925,0.052057048,gray
EIF4G2,EIF4G2,IPI00015952,IPI00654814;IPI00941589;IPI00015952,"cDNA FLJ59571, highly similar to Eukaryotic translation initiation factor 4gamma 2",980,"( 168 ,186 ,277 )","( 122 ,155 ,240 )",1.20796147,0.00032053,-8.045534762,0.236001562,0.000265348,-8.234468966,1.43456082,0.052156737,gray
PRKAG1,PRKAG2;PRKAG1,IPI00473047,IPI00945571;IPI00883914;IPI00473047;IPI00646448;IPI00005367;IPI00219377,"cDNA FLJ40287 fis, clone TESTI2027909, highly similar to 5'-AMP-ACTIVATED PROTEIN KINASE, GAMMA-1 SUBUNIT",340,"( 4 ,8 ,12 )","( 0 ,2 ,5 )",4.961411963,3.26742e-05,-10.32892351,3.463867069,6.58567e-06,-11.93061388,7.983333362,0.052339884,gray
GGPS1,GGPS1,IPI00032892,IPI00032892;IPI00658186;IPI00946064;IPI00945938,Geranylgeranyl pyrophosphate synthase,300,"( 2 ,2 ,1 )","( 7 ,3 ,17 )",0.227503569,8.58688e-06,-11.66527568,5.256765723,3.77439e-05,-10.18468633,6.994895751,0.05234723,gray
MAEA,MAEA,IPI00964423,IPI00445707;IPI00964423;IPI00556323;IPI00910834;IPI00965866;IPI00965962;IPI00937771;IPI00965418;IPI00845303;IPI00607605,49 kDa protein,434,"( 3 ,4 ,13 )","( 1 ,3 ,2 )",3.066060068,2.05078e-05,-10.79470697,4.402204817,6.68864e-06,-11.91510034,4.438182879,0.05237193,gray
RBM9,RBFOX2,IPI00258168,IPI00885127;IPI00258168,Isoform 8 of RNA-binding protein 9,451,"( 11 ,15 ,24 )","( 16 ,20 ,26 )",0.767593634,5.36162e-05,-9.833659839,1.594007472,6.98497e-05,-9.569165032,0.626001442,0.052428923,gray
SHC1,SHC1,IPI00021326,IPI00165135;IPI00021326;IPI00943132;IPI00513796;IPI00643176,SHC-transforming protein 1 isoform 3,584,"( 19 ,22 ,37 )","( 8 ,19 ,14 )",1.926812857,6.64996e-05,-9.618315064,1.170315651,3.45127e-05,-10.27418233,3.901369887,0.052451607,gray
DHX8,DHX8,IPI00031508,IPI00031508,ATP-dependent RNA helicase DHX8,1220,"( 2.0381 ,4.22934 ,4.14773 )","( 4.08 ,14.3281 ,16.9154 )",0.325087546,4.12715e-06,-12.39792349,2.733039534,1.26955e-05,-11.27426273,5.575020911,0.052556661,gray
MRPL11,MRPL11,IPI00007001,IPI00333848;IPI00007001,"39S ribosomal protein L11, mitochondrial",192,"( 19 ,23 ,42 )","( 17 ,17 ,27 )",1.307473586,0.000210339,-8.466789015,1.790963586,0.000160875,-8.73488573,0.890527425,0.052716691,gray
CCT6A,CCT6A,IPI00027626,IPI00027626,T-complex protein 1 subunit zeta,531,"( 222.367 ,282.512 ,318.451 )","( 178.693 ,179.712 ,272.887 )",1.294498702,0.000781381,-7.154447528,2.133751789,0.000603617,-7.412571045,0.812325556,0.052727815,gray
TFCP2,TFCP2,IPI00037599,IPI00789400;IPI00140998;IPI00953927;IPI00037599;IPI00791184,Isoform 1 of Alpha-globin transcription factor CP2,502,"( 17.5 ,23.4783 ,28.75 )","( 10 ,17.7333 ,17.5 )",1.535015365,6.93401e-05,-9.57648646,1.358756852,4.51723e-05,-10.00502685,2.395839027,0.052884907,gray
CAPRIN1,CAPRIN1,IPI00783872,IPI00783872;IPI00873926,Isoform 1 of Caprin-1,709,"( 65 ,62 ,142 )","( 53 ,50 ,71 )",1.424417409,0.000178975,-8.628264447,2.423069228,0.000125648,-8.982027342,0.939484528,0.053083947,gray
